detector,sensitivity_ai,specificity_human,fpr_human,fpr_clean_human,fpr_stress_human,fpr_esl,accuracy_ai_human,recall_ai,flag_rate_hybrid,tpr_at_fpr_0.1pct,tpr_at_fpr_0.5pct,tpr_at_fpr_1pct,tpr_at_fpr_5pct,mean_ai_score_human,mean_ai_score_human_stress,mean_ai_score_AI_assisted,mean_ai_score_hybrid,mean_ai_score_rewritten_AI,mean_ai_score_fully_AI,university_score,publisher_score,admissions_score,calibration_score,rank_overall_accuracy,rank_university_low_FP,rank_publisher_catch_edited,rank_admissions_non_native,rank_calibration_fixed_FPR
Winston AI,0.9286,1.0,0.0,0.0,0.0,0.0,0.9714,0.9286,0.3333,0.9643,0.9643,0.9643,0.9643,0.0857,0.2643,0.405,0.3493,0.5521,0.8496,0.9286,0.6012,-0.0,0.9643,1,1,6,1,1
GPTZero,0.9286,0.9048,0.0952,0.0,0.1905,1.0,0.9143,0.9286,0.619,0.8929,0.8929,0.8929,0.9286,0.1325,0.3247,0.4063,0.525,0.622,0.7552,0.5476,0.7345,-1.6286,0.9048,4,5,3,7,4
Originality.ai,0.9286,0.9286,0.0714,0.0,0.1429,0.0,0.9286,0.9286,0.619,0.9286,0.9286,0.9286,0.9286,0.1848,0.3429,0.4486,0.5057,0.6407,0.8334,0.6429,0.7405,-0.1714,0.9286,3,4,2,5,3
Copyleaks,0.9643,0.9762,0.0238,0.0,0.0476,0.0,0.9714,0.9643,0.5714,0.9286,0.9286,0.9286,1.0,0.1576,0.2964,0.5043,0.505,0.5843,0.8109,0.869,0.7423,-0.0571,0.9524,2,2,1,3,2
Scribbr,0.75,1.0,0.0,0.0,0.0,0.0,0.9,0.75,0.0952,0.8929,0.8929,0.8929,0.8929,0.1586,0.2581,0.2629,0.3814,0.3407,0.5609,0.75,0.3899,-0.0,0.8929,5,3,8,2,5
ZeroGPT,0.8929,0.6905,0.3095,0.0,0.619,1.0,0.7714,0.8929,0.5238,0.0714,0.0714,0.0714,0.6786,0.2301,0.519,0.455,0.4734,0.5388,0.703,-0.3452,0.6125,-2.1429,0.2738,8,8,4,8,8
Sapling,0.9286,0.8333,0.1667,0.0,0.3333,0.6667,0.8714,0.9286,0.4286,0.1071,0.1071,0.1071,0.8929,0.1794,0.4101,0.4767,0.5014,0.4999,0.7405,0.2619,0.6119,-1.3333,0.369,6,7,5,6,7
QuillBot AI Detector,0.5,0.9762,0.0238,0.0,0.0476,0.0,0.7857,0.5,0.0476,0.3929,0.3929,0.3929,0.6429,0.1431,0.2619,0.2114,0.2307,0.37,0.4702,0.4048,0.2452,-0.0571,0.4762,7,6,9,4,6
Pangram,0.7857,0.6667,0.3333,0.0,0.6667,1.0,0.7143,0.7857,0.381,0.0,0.0,0.0,0.0357,0.2654,0.5918,0.3368,0.4519,0.4961,0.5901,-0.5476,0.4798,-2.2,0.0119,9,9,7,9,9
